DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,COUNTY_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,OFFENSE_SUBCAT_ID,OFFENSE_NAME,OFFENSE_SUBCAT_NAME,ACTUAL_COUNT,UNFOUNDED_COUNT,CLEARED_COUNT,JUVENILE_CLEARED_COUNT,OTHER_COUNT
2013,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,6,0,6,0,
2013,OH0020000,Allen,,County,OH,Ohio,East North Central,ALLEN,Midwest,9C,"MSA counties from 10,000 thru 24,999",HTCSA,Human Trafficking,Commercial Sex Acts,1,0,1,0,
2013,OH0020000,Allen,,County,,Ohio,East North Central,ALLEN,Midwest,9C,"MSA counties from 10,000 thru 24,999",HTIS,Human Trafficking,Involuntary Servitude,1,0,0,0,
2013,TN0320100,Morristown,,City,TN,Tennessee,East South Central,"HAMBLEN, JEFFERSON",South,4,"Cities from 25,000 thru 49,999",HTCSA,Human Trafficking,Commercial Sex Acts,1,0,1,0,
2013,TNMPD0000,Memphis,,City,TN,Tennessee,East South Central,SHELBY,South,1B,"Cities from 500,000 thru 999,999",HTCSA,Human Trafficking,Commercial Sex Acts,3,0,2,0,
2013,WA0173600,Federal Way,,City,,Washington,Pacific,KING,West,3,"Cities from 50,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,2,0,2,0,
2014,AK0010100,Anchorage,,City,AK,Alaska,Pacific,ANCHORAGE,West,1C,"Cities from 250,000 thru 499,999",HTCSA,Human Trafficking,Commercial Sex Acts,2,0,0,0,
2014,AKAST0100,Alaska State Troopers,,State Police,AK,Alaska,Pacific,NOT SPECIFIED,West,8A,"Non-MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,9,0,3,0,
2014,AZ0070300,Buckeye,,City,AZ,Arizona,Mountain,MARICOPA,West,3,"Cities from 50,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,2,0,2,0,
2014,AZ0070300,Buckeye,,City,AZ,Arizona,Mountain,MARICOPA,West,3,"Cities from 50,000 thru 99,999",HTIS,Human Trafficking,Involuntary Servitude,0,0,1,0,
2014,AZ0071300,Glendale,,City,AZ,Arizona,Mountain,MARICOPA,West,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,1,0,0,0,
2014,AZ0071500,Goodyear,,City,AZ,Arizona,Mountain,MARICOPA,West,3,"Cities from 50,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,6,0,1,0,
2014,AZ0072500,Scottsdale,,City,AZ,Arizona,Mountain,MARICOPA,West,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,3,0,3,0,
2014,AZ0072900,Tempe,,City,AZ,Arizona,Mountain,MARICOPA,West,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,3,0,3,0,
2014,AZ0100300,Tucson,,City,AZ,Arizona,Mountain,PIMA,West,1B,"Cities from 500,000 thru 999,999",HTCSA,Human Trafficking,Commercial Sex Acts,1,0,0,0,
2014,CO0010100,Aurora,,City,CO,Colorado,Mountain,"ADAMS, ARAPAHOE, DOUGLAS",West,1C,"Cities from 250,000 thru 499,999",HTCSA,Human Trafficking,Commercial Sex Acts,3,0,3,0,
2014,CO0030000,Arapahoe,,County,CO,Colorado,Mountain,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,2,0,2,0,
2014,CO0030000,Arapahoe,,County,CO,Colorado,Mountain,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",HTIS,Human Trafficking,Involuntary Servitude,2,0,0,0,
2014,CO0300000,Jefferson,,County,CO,Colorado,Mountain,JEFFERSON,West,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,1,0,0,0,
2014,CO0300400,Lakewood,,City,CO,Colorado,Mountain,JEFFERSON,West,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,1,0,0,0,
2014,CO0620200,Greeley,,City,CO,Colorado,Mountain,WELD,West,3,"Cities from 50,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,4,0,4,0,
2014,FL0051200,Palm Bay,,City,FL,Florida,South Atlantic,BREVARD,South,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,1,2,1,0,
2014,FL0110000,Collier,,County,FL,Florida,South Atlantic,COLLIER,South,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,12,0,4,0,
2014,FL0110000,Collier,,County,FL,Florida,South Atlantic,COLLIER,South,9A,"MSA counties 100,000 or over",HTIS,Human Trafficking,Involuntary Servitude,0,2,0,0,
2014,FL0290000,Hillsborough,,County,FL,Florida,South Atlantic,HILLSBOROUGH,South,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,4,2,0,0,
2014,FL0290000,Hillsborough,,County,FL,Florida,South Atlantic,HILLSBOROUGH,South,9A,"MSA counties 100,000 or over",HTIS,Human Trafficking,Involuntary Servitude,0,1,0,0,
2014,FL0310000,Indian River,,County,FL,Florida,South Atlantic,INDIAN RIVER,South,9B,"MSA counties from 25,000 thru 99,999",HTIS,Human Trafficking,Involuntary Servitude,3,0,3,0,
2014,FL0360000,Lee,,County,FL,Florida,South Atlantic,LEE,South,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,1,0,0,0,
2014,FL0370300,Tallahassee,,City,FL,Florida,South Atlantic,LEON,South,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,1,0,1,0,
2014,FL0410000,Manatee,,County,FL,Florida,South Atlantic,MANATEE,South,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,1,0,1,0,
2014,FL0410000,Manatee,,County,FL,Florida,South Atlantic,MANATEE,South,9A,"MSA counties 100,000 or over",HTIS,Human Trafficking,Involuntary Servitude,0,1,0,0,
2014,FL0480000,Orange,,County,FL,Florida,South Atlantic,ORANGE,South,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,5,0,5,0,
2014,FL0480400,Orlando,,City,FL,Florida,South Atlantic,ORANGE,South,1C,"Cities from 250,000 thru 499,999",HTCSA,Human Trafficking,Commercial Sex Acts,1,2,1,0,
2014,FL0490000,Osceola,,County,FL,Florida,South Atlantic,OSCEOLA,South,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,4,0,4,0,
2014,FL0520300,Clearwater,,City,FL,Florida,South Atlantic,PINELLAS,South,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,25,8,25,0,
2014,FL0520300,Clearwater,,City,FL,Florida,South Atlantic,PINELLAS,South,2,"Cities from 100,000 thru 249,999",HTIS,Human Trafficking,Involuntary Servitude,0,1,0,0,
2014,FL0521400,St. Petersburg,,City,FL,Florida,South Atlantic,PINELLAS,South,1C,"Cities from 250,000 thru 499,999",HTCSA,Human Trafficking,Commercial Sex Acts,1,0,1,0,
2014,FL0580100,Sarasota,,City,FL,Florida,South Atlantic,SARASOTA,South,3,"Cities from 50,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,1,0,1,0,
2014,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,HONOLULU,West,1B,"Cities from 500,000 thru 999,999",HTCSA,Human Trafficking,Commercial Sex Acts,1,0,0,0,
2014,IL0090200,Beardstown,,City,IL,Illinois,East North Central,CASS,Midwest,6,"Cities from 2,500 thru 9,999",HTCSA,Human Trafficking,Commercial Sex Acts,3,0,0,0,
2014,IL0160100,Alsip,,City,IL,Illinois,East North Central,COOK,Midwest,5,"Cities from 10,000 thru 24,999",HTCSA,Human Trafficking,Commercial Sex Acts,1,0,0,0,
2014,IL0162900,East Hazel Crest,,City,IL,Illinois,East North Central,COOK,Midwest,7,"Cities under 2,500",HTCSA,Human Trafficking,Commercial Sex Acts,1,0,0,0,
